genotype,status,biomass_flux,fold_change_vs_wt
wild type,optimal,0.07174152096637101,1.0
rsks-1,optimal,0.07174152096637101,1.0
daf-2,optimal,0.07165777813976068,0.9988327146472182
daf-2 rsks-1,optimal,0.07165535658810243,0.9987989608094736
daf-16; daf-2 rsks-1,optimal,0.07174152096637107,1.0000000000000007
