,t,wild type,rsks-1,daf-2,daf-2 rsks-1,daf-16; daf-2 rsks-1
0,0.0,1.0,1.0,1.0,1.0,1.0
1,0.25125628140703515,0.9974588405212352,0.9974588405212352,0.997458878952673,0.9974588800625928,0.9974588405212352
2,0.5025125628140703,0.994859729833821,0.994859729833821,0.9948598857555082,0.9948598902585603,0.994859729833821
3,0.7537688442211055,0.9922015206429153,0.9922015206429153,0.9922018764669206,0.9922018867430884,0.9922015206429153
4,1.0050251256281406,0.9894830519384316,0.9894830519384316,0.9894836935089963,0.9894837120373097,0.9894830519384316
5,1.2562814070351758,0.9867031493404768,0.9867031493404768,0.9867041660125158,0.986704195373313,0.9867031493404768
6,1.507537688442211,0.9838606254818371,0.9838606254818371,0.98386211019884,0.9838621530760144,0.9838606254818371
7,1.758793969849246,0.9809542804293734,0.9809542804293734,0.9809563298005155,0.9809563889837383,0.9809542804293734
8,2.0100502512562812,0.9779829021462529,0.9779829021462529,0.9779856165225065,0.9779856949094198,0.9779829021462529
9,2.2613065326633164,0.9749452669969951,0.9749452669969951,0.9749487505460205,0.9749488511443972,0.9749452669969951
10,2.5125628140703515,0.9718401402973744,0.9718401402973744,0.9718445010769559,0.9718446270068155,0.9718401402973744
11,2.7638190954773867,0.9686662769112762,0.9686662769112762,0.9686716269410501,0.9686717814367264,0.9686662769112762
12,3.015075376884422,0.9654224218966577,0.9654224218966577,0.9654288772278676,0.965429063640019,0.9654224218966577
13,3.266331658291457,0.962107311202825,0.962107311202825,0.9621149919858198,0.9621152137833746,0.962107311202825
14,3.517587939698492,0.9587196724212836,0.9587196724212836,0.9587287029704604,0.9587289637424883,0.9587196724212836
15,3.7688442211055273,0.9552582255924811,0.9552582255924811,0.9552687344483539,0.9552690379058548,0.955258225592481
16,4.0201005025125625,0.9517216840707984,0.9517216840707984,0.9517338040588597,0.9517341540364596,0.9517216840707984
17,4.271356783919598,0.9481087554502045,0.9481087554502045,0.9481226237362236,0.948123024193768,0.9481087554502045
18,4.522613065326633,0.9444181425530203,0.9444181425530203,0.9444339006944086,0.9444343557184426,0.9444181425530203
19,4.773869346733668,0.9406485444842889,0.9406485444842889,0.9406663384771384,0.9406668522822617,0.9406485444842889
20,5.025125628140703,0.9367986577542757,0.9367986577542757,0.936818638075659,0.9368192150057444,0.9367986577542756
21,5.276381909547738,0.932867177471657,0.932867177471657,0.9328894991167577,0.9328901436460205,0.9328671774716569
22,5.527638190954773,0.9288527986099812,0.9288527986099812,0.9288776211235997,0.9288783378575055,0.9288527986099812
23,5.7788944723618085,0.9247542173500037,0.9247542173500037,0.9247817048519666,0.9247824985279621,0.9247542173500037
24,6.030150753768844,0.920570132500512,0.920570132500512,0.9206004537044874,0.9206013291925426,0.920570132500512
25,6.281407035175879,0.9162992470002607,0.9162992470002607,0.9163325752254641,0.9163335375284084,0.9162992470002607
26,6.532663316582914,0.9119402695036356,0.9119402695036356,0.9119767826788867,0.9119778369325254,0.9119402695036355
27,6.783919597989949,0.9074919160526529,0.9074919160526529,0.9075317967122227,0.9075329481852165,0.9074919160526528
28,7.035175879396984,0.9029529118378782,0.9029529118378782,0.9029963471085444,0.9029976012020348,0.9029529118378781
29,7.2864321608040195,0.8983219930508188,0.8983219930508188,0.8983691746295245,0.8983705368764904,0.8983219930508188
30,7.537688442211055,0.8935979088302989,0.8935979088302989,0.89364903295179,0.8936505090161133,0.8935979088302988
31,7.78894472361809,0.8887794233052685,0.8887794233052685,0.8888346906990626,0.8888362863742876,0.8887794233052684
32,8.040201005025125,0.8838653177364312,0.8838653177364312,0.8839249335724501,0.8839266547802158,0.8838653177364312
33,8.29145728643216,0.878854392758986,0.878854392758986,0.8789185665811639,0.8789204193692908,0.878854392758986
34,8.542713567839195,0.8737454707286805,0.8737454707286805,0.8738144163758428,0.8738164069160511,0.8737454707286805
35,8.793969849246231,0.8685373981732526,0.8685373981732526,0.8686113336865376,0.8686134682717798,0.8685373981732525
36,9.045226130653266,0.8632290483512027,0.8632290483512027,0.8633081958672859,0.863310480908668,0.8632290483512026
37,9.2964824120603,0.8578193239196802,0.8578193239196802,0.8579039095490395,0.8579063515723142,0.8578193239196802
38,9.547738693467336,0.8523071597130901,0.8523071597130901,0.8523974134025426,0.8524000190441465,0.85230715971309
39,9.798994974874372,0.8466915256338269,0.8466915256338269,0.8467876810125492,0.8467904570151659,0.8466915256338268
40,10.050251256281406,0.8409714296563168,0.8409714296563168,0.8410737238645525,0.8410766770721765,0.8409714296563167
41,10.30150753768844,0.8351459209452999,0.8351459209452999,0.8352545944449509,0.8352577317974295,0.8351459209452999
42,10.552763819095476,0.8292140930890081,0.8292140930890081,0.8293293894552969,0.8293327179823271,0.8292140930890078
43,10.804020100502512,0.8231750874475858,0.8231750874475858,0.8232972531409783,0.823300779955535,0.8231750874475857
44,11.055276381909547,0.8170280966167729,0.8170280966167729,0.8171573807343446,0.8171611130255164,0.8170280966167727
45,11.306532663316581,0.8107723680064899,0.8107723680064899,0.8109090220119294,0.8109129670371394,0.8107723680064898
46,11.557788944723617,0.8044072075335811,0.8044072075335811,0.8045514849650252,0.8045556500416134,0.804407207533581
47,11.809045226130653,0.7979319834275217,0.7979319834275217,0.7980841395824347,0.7980885320785789,0.7979319834275216
48,12.060301507537687,0.791346130147436,0.791346130147436,0.7915064217437582,0.7915110490687106,0.7913461301474359
49,12.311557788944722,0.7846491524082583,0.7846491524082583,0.78481783722107,0.7848227068146904,0.784649152408258
50,12.562814070351758,0.777840629313325,0.777840629313325,0.7780179657863028,0.7780230851078642,0.7778406293133248
51,12.814070351758794,0.7709202185900983,0.7709202185900983,0.7711064654210692,0.7711118419373176,0.7709202185900983
52,13.065326633165828,0.7638876609250915,0.7638876609250915,0.7640830766250308,0.7640887177974811,0.7638876609250913
53,13.316582914572862,0.756742784393395,0.756742784393395,0.7569476268182639,0.7569535400897113,0.7567427843933948
54,13.567839195979898,0.749485508977492,0.749485508977492,0.7497000348323547,0.7497062276125905,0.7494855089774918
55,13.819095477386934,0.7421158511692837,0.7421158511692837,0.7423403154842171,0.7423467951349295,0.7421158511692834
56,14.070351758793969,0.7346339286484499,0.7346339286484499,0.7348685842258169,0.7348753580446681,0.7346339286484497
57,14.321608040201003,0.7270399650294135,0.7270399650294135,0.7272850618621564,0.7272921370660248,0.7270399650294133
58,14.572864321608039,0.7193342946682859,0.7193342946682859,0.71959007932898,0.7195974630363601,0.7193342946682856
59,14.824120603015075,0.7115173675202275,0.7115173675202275,0.7117840825207352,0.71179178173329,0.7115173675202273
60,15.07537688442211,0.7035897540366733,0.7035897540366733,0.7038676371583401,0.7038756587416057,0.703589754036673
61,15.326633165829143,0.6955521500908384,0.6955521500908384,0.695841433685298,0.695849784348541,0.6955521500908382
62,15.57788944723618,0.6874053819188525,0.6874053819188525,0.6877062921796306,0.687714978454863,0.6874053819188521
63,15.829145728643216,0.6791504110627488,0.6791504110627488,0.6794631672679979,0.6794721954881622,0.6791504110627484
64,16.08040201005025,0.6707883393003842,0.6707883393003842,0.6711131530272336,0.6711225293035687,0.6707883393003838
65,16.331658291457284,0.6623204135461714,0.6623204135461714,0.6626574878573424,0.6626672180559499,0.662320413546171
66,16.58291457286432,0.6537480307052828,0.6537480307052828,0.6540975593087912,0.6541076490264263,0.6537480307052825
67,16.834170854271356,0.6450727424627264,0.6450727424627264,0.6454349088456899,0.6454453633848055,0.6450727424627261
68,17.08542713567839,0.636296259987416,0.636296259987416,0.6366712365251807,0.6366820608682598,0.6362962599874157
69,17.336683417085425,0.6274204585300545,0.6274204585300545,0.6278084055720718,0.6278196043552898,0.627420458530054
70,17.587939698492463,0.6184473818923366,0.6184473818923366,0.6188484468264515,0.618860024312714,0.6184473818923363
71,17.839195979899497,0.6093792467436514,0.6093792467436514,0.609793563040697,0.6098055230921109,0.609379246743651
72,18.09045226130653,0.6002184467601411,0.6002184467601411,0.6006461330009961,0.6006584790508325,0.6002184467601408
73,18.341708542713565,0.5909675565596633,0.5909675565596633,0.591408715447184,0.5914214504714047,0.5909675565596628
74,18.5929648241206,0.5816293354048985,0.5816293354048985,0.5820840527634203,0.5820971792518446,0.581629335404898
75,18.844221105527637,0.5722067306455861,0.5722067306455861,0.5726750744109722,0.5726885943381675,0.5722067306455858
