functional_tag,rsks-1,daf-2,daf-2 rsks-1,daf-16; daf-2 rsks-1
lipid_metabolism,0.9986866011005734,0.985160072679673,0.9848870975138156,0.9986866011005737
untagged,0.0,0.0,0.0,0.0
